Category Heading,Route,PageSpeed Link,Score
"Dynamic Route Pattern","/exam/[id]/[slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fexam%2F%5Bid%5D%2F%5Bslug%5D",""
"Dynamic Route Pattern","/school/[id]/[slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fschool%2F%5Bid%5D%2F%5Bslug%5D",""
"Dynamic Route Pattern","/board/[id]/[slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fboard%2F%5Bid%5D%2F%5Bslug%5D",""
"Dynamic Route Pattern","/scholarship/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fscholarship%2F%5B...slug%5D",""
"Dynamic Route Pattern","/blog/[id]/[slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fblog%2F%5Bid%5D%2F%5Bslug%5D",""
"Dynamic Route Pattern","/news/[id]/[slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fnews%2F%5Bid%5D%2F%5Bslug%5D",""
"Study Abroad","/study-in-australia","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-australia",""
"Study Abroad","/study-in-australia/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-australia%2F%5B...slug%5D",""
"Study Abroad","/study-in-canada","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-canada",""
"Study Abroad","/study-in-canada/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-canada%2F%5B...slug%5D",""
"Study Abroad","/study-in-france","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-france",""
"Study Abroad","/study-in-france/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-france%2F%5B...slug%5D",""
"Study Abroad","/study-in-germany","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-germany",""
"Study Abroad","/study-in-germany/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-germany%2F%5B...slug%5D",""
"Study Abroad","/study-in-ireland","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-ireland",""
"Study Abroad","/study-in-ireland/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-ireland%2F%5B...slug%5D",""
"Study Abroad","/study-in-new-zealand","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-new-zealand",""
"Study Abroad","/study-in-new-zealand/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-new-zealand%2F%5B...slug%5D",""
"Study Abroad","/study-in-singapore","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-singapore",""
"Study Abroad","/study-in-singapore/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-singapore%2F%5B...slug%5D",""
"Study Abroad","/study-in-uk","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-uk",""
"Study Abroad","/study-in-uk/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-uk%2F%5B...slug%5D",""
"Study Abroad","/study-in-usa","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-usa",""
"Study Abroad","/study-in-usa/[...slug]","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudy-in-usa%2F%5B...slug%5D",""
"Study Abroad","/mbbs-abroad","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fmbbs-abroad",""
"Feature / Special Page","/nri-quota","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fnri-quota",""
"Feature / Special Page","/education-loan","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Feducation-loan",""
"Feature / Special Page","/services","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fservices",""
"Feature / Special Page","/students-speak","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fstudents-speak",""
"Feature / Special Page","/bams-counselling-process","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fbams-counselling-process",""
"Feature / Special Page","/college-admission-guidance","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcollege-admission-guidance",""
"Feature / Special Page","/cu-online-mba-admission","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcu-online-mba-admission",""
"Feature / Special Page","/meds","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fmeds",""
"Feature / Special Page","/symbiosis-international-university-dubai","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fsymbiosis-international-university-dubai",""
"Feature / Special Page","/write-review","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fwrite-review",""
"Feature / Special Page","/thank-you","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fthank-you",""
"Corporate / Info","/about-us","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fabout-us",""
"Corporate / Info","/contact-us","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcontact-us",""
"Corporate / Info","/our-team","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Four-team",""
"Corporate / Info","/career","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fcareer",""
"Corporate / Info","/advertise-with-us","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fadvertise-with-us",""
"Corporate / Info","/sitemap","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fsitemap",""
"Legal","/privacy-policy","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fprivacy-policy",""
"Legal","/terms-and-conditions","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fterms-and-conditions",""
"Legal","/disclaimer","https://pagespeed.web.dev/analysis?url=https%3A%2F%2Flearntechww.com%2Fdisclaimer",""
